Exp,x1,p1,t1,x2,p2,t2,N,k
Ericson15,100,1,0.25,200,1,0.5,7,2
Ericson15,100,1,0.25,200,1,0.75,9,7
Ericson15,100,1,0.25,200,1,1,6,6
Ericson15,100,1,0.5,200,1,0.75,3,1
Ericson15,100,1,0.5,200,1,1,7,3
Ericson15,100,1,0.5,200,1,1.25,11,6
Ericson15,166.67,1,0,666.67,1,0.25,4,0
Ericson15,166.67,1,0,666.67,1,0.5,4,3
Ericson15,166.67,1,0,666.67,1,0.75,6,3
Ericson15,166.67,1,0.25,666.67,1,0.5,4,1
Ericson15,166.67,1,0.25,666.67,1,0.75,9,4
Ericson15,166.67,1,0.25,666.67,1,1,4,1
Ericson15,166.67,1,0.5,666.67,1,0.75,3,1
Ericson15,166.67,1,0.5,666.67,1,1,5,0
Ericson15,166.67,1,0.5,666.67,1,1.25,11,1
Ericson15,200,1,0,202,1,0.25,4,4
Ericson15,200,1,0,202,1,0.5,3,3
Ericson15,200,1,0,202,1,0.75,3,3
Ericson15,200,1,0.25,202,1,0.5,8,8
Ericson15,200,1,0.25,202,1,0.75,8,8
Ericson15,200,1,0.25,202,1,1,10,10
Ericson15,200,1,0.5,202,1,0.75,5,3
Ericson15,200,1,0.5,202,1,1,8,8
Ericson15,200,1,0.5,202,1,1.25,4,3
Ericson15,200,1,0,210,1,0.25,5,4
Ericson15,200,1,0,210,1,0.5,7,7
Ericson15,200,1,0,210,1,0.75,2,2
Ericson15,200,1,0.25,210,1,0.5,5,5
Ericson15,200,1,0.25,210,1,0.75,6,6
Ericson15,200,1,0.25,210,1,1,6,6
Ericson15,200,1,0.5,210,1,0.75,6,6
Ericson15,200,1,0.5,210,1,1,5,5
Ericson15,200,1,0.5,210,1,1.25,3,3
Ericson15,200,1,0,250,1,0.25,3,2
Ericson15,200,1,0,250,1,0.5,7,3
Ericson15,200,1,0,250,1,0.75,5,4
Ericson15,200,1,0.25,250,1,0.5,6,5
Ericson15,200,1,0.25,250,1,0.75,6,6
Ericson15,200,1,0.25,250,1,1,7,6
Ericson15,200,1,0.5,250,1,0.75,3,2
Ericson15,200,1,0.5,250,1,1,7,7
Ericson15,200,1,0.5,250,1,1.25,5,4
Ericson15,200,1,0,300,1,0.25,4,3
Ericson15,200,1,0,300,1,0.5,4,3
Ericson15,200,1,0,300,1,0.75,7,5
Ericson15,200,1,0.25,300,1,0.5,3,1
