Exp,x1,p1,t1,x2,p2,t2,N,y
Ericson15,100,1,0.5,105,1,1.25,2,2
Ericson15,100,1,0.5,110,1,1.25,4,4
Ericson15,100,1,0.5,150,1,1.25,7,6
Ericson15,100,1,0.5,200,1,1.25,11,6
Ericson15,166.67,1,0.5,666.67,1,1.25,11,1
Ericson15,200,1,0.5,202,1,1.25,4,3
Ericson15,200,1,0.5,210,1,1.25,3,3
Ericson15,200,1,0.5,250,1,1.25,5,4
Ericson15,200,1,0.5,300,1,1.25,12,12
Ericson15,250,1,0.5,750,1,1.25,2,0
Ericson15,333.33,1,0.5,1333.33,1,1.25,5,2
Ericson15,400,1,0.5,500,1,1.25,2,2
Ericson15,500,1,0.5,505,1,1.25,7,7
Ericson15,500,1,0.5,550,1,1.25,4,4
Ericson15,500,1,0.5,1000,1,1.25,4,3
Ericson15,500,1,0.5,1500,1,1.25,4,3
Ericson15,1000,1,0.5,1010,1,1.25,3,3
Ericson15,1000,1,0.5,1050,1,1.25,3,3
Ericson15,1000,1,0.5,1100,1,1.25,5,4
Ericson15,1000,1,0.5,1500,1,1.25,10,9
Ericson15,1000,1,0.5,2000,1,1.25,8,4
Ericson15,2000,1,0.5,2100,1,1.25,5,5
Ericson15,2000,1,0.5,2500,1,1.25,6,6
Ericson15,2000,1,0.5,3000,1,1.25,8,4
Ericson15,4000,1,0.5,5000,1,1.25,8,5
Ericson15,5000,1,0.5,5050,1,1.25,7,7
Ericson15,5000,1,0.5,5500,1,1.25,5,4
