x1,p1,t1,x2,p2,t2,n,k,set
4,1,0,5,1,0.5,7,7,Ericson
4,1,0,5,1,0.75,7,7,Ericson
4,1,0.25,5,1,0.5,4,2,Ericson
4,1,0.25,5,1,0.75,9,6,Ericson
4,1,0.25,5,1,1,7,5,Ericson
4,1,0.5,5,1,0.75,7,5,Ericson
4,1,0.5,5,1,1,4,3,Ericson
4,1,0.5,5,1,1.25,3,2,Ericson
4,1,0,6,1,0.25,4,2,Ericson
4,1,0,6,1,0.5,5,5,Ericson
4,1,0,6,1,0.75,2,2,Ericson
4,1,0.25,6,1,0.5,3,3,Ericson
4,1,0.25,6,1,0.75,6,3,Ericson
4,1,0.25,6,1,1,8,7,Ericson
4,1,0.5,6,1,0.75,5,4,Ericson
4,1,0.5,6,1,1,2,1,Ericson
4,1,0.5,6,1,1.25,4,3,Ericson
5,1,0,5.5,1,0.25,8,7,Ericson
5,1,0,5.5,1,0.5,7,7,Ericson
5,1,0,5.5,1,0.75,10,9,Ericson
5,1,0.25,5.5,1,0.5,5,5,Ericson
5,1,0.25,5.5,1,0.75,2,2,Ericson
5,1,0.25,5.5,1,1,8,8,Ericson
5,1,0.5,5.5,1,0.75,8,7,Ericson
5,1,0.5,5.5,1,1,8,6,Ericson
5,1,0.5,5.5,1,1.25,6,5,Ericson
5,1,0,10,1,0.25,7,3,Ericson
5,1,0,10,1,0.5,7,7,Ericson
5,1,0,10,1,0.75,6,3,Ericson
5,1,0.25,10,1,0.5,7,5,Ericson
5,1,0.25,10,1,0.75,8,7,Ericson
5,1,0.25,10,1,1,3,3,Ericson
5,1,0.5,10,1,0.75,5,3,Ericson
5,1,0.5,10,1,1,1,0,Ericson
5,1,0.5,10,1,1.25,4,3,Ericson
5,1,0,15,1,0.25,6,3,Ericson
5,1,0,15,1,0.5,5,2,Ericson
5,1,0,15,1,0.75,3,3,Ericson
5,1,0.25,15,1,0.5,4,2,Ericson
5,1,0.25,15,1,0.75,4,3,Ericson
5,1,0.25,15,1,1,7,4,Ericson
5,1,0.5,15,1,0.75,7,4,Ericson
5,1,0.5,15,1,1,5,3,Ericson
5,1,0.5,15,1,1.25,4,2,Ericson
8,1,0,10,1,0.25,4,4,Ericson
8,1,0,10,1,0.5,3,3,Ericson
8,1,0,10,1,0.75,10,8,Ericson
8,1,0.25,10,1,0.5,9,7,Ericson
8,1,0.25,10,1,0.75,8,6,Ericson
8,1,0.25,10,1,1,8,8,Ericson
8,1,0.5,10,1,0.75,9,8,Ericson
8,1,0.5,10,1,1,8,7,Ericson
8,1,0.5,10,1,1.25,4,4,Ericson
10,1,0,10.1,1,0.25,9,9,Ericson
10,1,0,10.1,1,0.5,7,7,Ericson
10,1,0,10.1,1,0.75,8,7,Ericson
10,1,0.25,10.1,1,0.5,5,4,Ericson
10,1,0.25,10.1,1,0.75,5,5,Ericson
10,1,0.25,10.1,1,1,5,5,Ericson
10,1,0.5,10.1,1,0.75,9,9,Ericson
10,1,0.5,10.1,1,1,5,4,Ericson
10,1,0.5,10.1,1,1.25,4,4,Ericson
10,1,0,10.5,1,0.25,3,3,Ericson
10,1,0,10.5,1,0.5,4,4,Ericson
10,1,0,10.5,1,0.75,2,2,Ericson
10,1,0.25,10.5,1,0.5,2,0,Ericson
10,1,0.25,10.5,1,0.75,5,4,Ericson
10,1,0.25,10.5,1,1,8,8,Ericson
10,1,0.5,10.5,1,0.75,7,7,Ericson
10,1,0.5,10.5,1,1,6,6,Ericson
10,1,0.5,10.5,1,1.25,9,9,Ericson
10,1,0,11,1,0.5,7,7,Ericson
10,1,0,11,1,0.75,5,5,Ericson
10,1,0.25,11,1,0.5,6,5,Ericson
10,1,0.25,11,1,0.75,6,6,Ericson
10,1,0.25,11,1,1,9,9,Ericson
10,1,0.5,11,1,0.75,3,3,Ericson
10,1,0.5,11,1,1,4,4,Ericson
10,1,0.5,11,1,1.25,3,3,Ericson
10,1,0,15,1,0.25,6,5,Ericson
10,1,0,15,1,0.5,7,6,Ericson
10,1,0,15,1,0.75,5,3,Ericson
10,1,0.25,15,1,0.5,5,3,Ericson
10,1,0.25,15,1,0.75,13,12,Ericson
10,1,0.25,15,1,1,1,1,Ericson
10,1,0.5,15,1,0.75,6,4,Ericson
10,1,0.5,15,1,1,5,4,Ericson
10,1,0.5,15,1,1.25,6,5,Ericson
10,1,0,20,1,0.25,4,3,Ericson
10,1,0,20,1,0.5,2,2,Ericson
10,1,0,20,1,0.75,5,5,Ericson
10,1,0.25,20,1,0.5,7,4,Ericson
10,1,0.25,20,1,0.75,7,7,Ericson
10,1,0.25,20,1,1,6,5,Ericson
10,1,0.5,20,1,0.75,5,3,Ericson
10,1,0.5,20,1,1,6,5,Ericson
10,1,0.5,20,1,1.25,3,2,Ericson
16.67,1,0,66.67,1,0.25,4,2,Ericson
16.67,1,0,66.67,1,0.5,9,6,Ericson
16.67,1,0,66.67,1,0.75,7,3,Ericson
16.67,1,0.25,66.67,1,0.5,4,0,Ericson
16.67,1,0.25,66.67,1,0.75,9,1,Ericson
16.67,1,0.25,66.67,1,1,2,1,Ericson
16.67,1,0.5,66.67,1,0.75,7,0,Ericson
16.67,1,0.5,66.67,1,1,3,0,Ericson
16.67,1,0.5,66.67,1,1.25,5,3,Ericson
20,1,0,21,1,0.25,6,5,Ericson
20,1,0,21,1,0.5,5,5,Ericson
20,1,0,21,1,0.75,10,9,Ericson
20,1,0.25,21,1,0.5,8,8,Ericson
20,1,0.25,21,1,0.75,10,10,Ericson
20,1,0.25,21,1,1,3,3,Ericson
20,1,0.5,21,1,0.75,5,4,Ericson
20,1,0.5,21,1,1,8,8,Ericson
20,1,0.5,21,1,1.25,3,3,Ericson
20,1,0,22,1,0.25,5,5,Ericson
20,1,0,22,1,0.5,2,1,Ericson
20,1,0,22,1,0.75,7,7,Ericson
20,1,0.25,22,1,0.5,7,5,Ericson
20,1,0.25,22,1,0.75,6,5,Ericson
