trial,choice,manipulation,num,mean,trial_sort
RvA.8.Imm,RvA,Imm,8,0.6333333333333333,11
RvA.14.Imm,RvA,Imm,14,0.6333333333333333,12
RvA.2.Imm,RvA,Imm,2,0.6833333333333333,13
RvA.9.Imm,RvA,Imm,9,0.6833333333333333,14
RvA.16.Imm,RvA,Imm,16,0.6833333333333333,15
RvA.10.Imm,RvA,Imm,10,0.7166666666666667,16
DvA.3.Imm,DvA,Imm,3,0.06666666666666667,1
DvA.1.Imm,DvA,Imm,1,0.11666666666666667,2
DvA.10.Imm,DvA,Imm,10,0.15,3
DvA.7.Imm,DvA,Imm,7,0.18333333333333332,4
DvA.13.Imm,DvA,Imm,13,0.18333333333333332,5
DvA.4.Imm,DvA,Imm,4,0.21666666666666667,6
DvA.2.Imm,DvA,Imm,2,0.25,7
DvA.8.Imm,DvA,Imm,8,0.26666666666666666,8
DvA.11.Imm,DvA,Imm,11,0.3333333333333333,9
DvA.14.Imm,DvA,Imm,14,0.3333333333333333,10
DvA.6.Imm,DvA,Imm,6,0.35,11
DvA.9.Imm,DvA,Imm,9,0.35,12
DvA.16.Imm,DvA,Imm,16,0.35,13
DvA.5.Imm,DvA,Imm,5,0.38333333333333336,14
DvA.15.Imm,DvA,Imm,15,0.38333333333333336,15
DvA.12.Imm,DvA,Imm,12,0.43333333333333335,16
DvR.11.Imm,DvR,Imm,11,0.05,1
DvR.12.Imm,DvR,Imm,12,0.05,2
DvR.10.Imm,DvR,Imm,10,0.06666666666666667,3
DvR.8.Imm,DvR,Imm,8,0.08333333333333333,4
DvR.14.Imm,DvR,Imm,14,0.08333333333333333,5
DvR.13.Imm,DvR,Imm,13,0.1,6
DvR.1.Imm,DvR,Imm,1,0.15,7
DvR.9.Imm,DvR,Imm,9,0.2,8
DvR.2.Imm,DvR,Imm,2,0.23333333333333334,9
DvR.5.Imm,DvR,Imm,5,0.26666666666666666,10
DvR.3.Imm,DvR,Imm,3,0.31666666666666665,11
DvR.7.Imm,DvR,Imm,7,0.3333333333333333,12
