"","p1","t1","x1","p2","t2","x2","trial","choice","manipulation","num"
"327",1,0,250,0.85,5,375,"DRvA.7.Base","DRvA","Base",7
"328",1,0,100,0.45,15,450,"DRvA.8.Base","DRvA","Base",8
"329",0.55,5,175,0.3,8,225,"DRvA.9.Base","DRvA","Base",9
"330",0.6,3,200,0.25,24,300,"DRvA.10.Base","DRvA","Base",10
"331",0.6,9,125,0.5,54,350,"DRvA.11.Base","DRvA","Base",11
"332",0.55,8,175,0.45,18,350,"DRvA.12.Base","DRvA","Base",12
"333",0.95,18,75,0.1,21,450,"DRvA.13.Base","DRvA","Base",13
"334",0.9,3,175,0.85,4,300,"DRvA.14.Base","DRvA","Base",14
"335",0.45,5,325,0.35,8,375,"DRvA.15.Base","DRvA","Base",15
"336",0.95,1,150,0.6,4,475,"DRvA.16.Base","DRvA","Base",16
"337",1,0,1750,0.8,5,3000,"DRvA.1.Mag","DRvA","Mag",1
"338",1,0,500,0.45,21,2250,"DRvA.2.Mag","DRvA","Mag",2
"339",1,0,1250,0.9,21,3750,"DRvA.3.Mag","DRvA","Mag",3
"340",1,0,2750,0.95,4,4750,"DRvA.4.Mag","DRvA","Mag",4
"341",1,0,1750,0.75,2,3750,"DRvA.5.Mag","DRvA","Mag",5
"342",1,0,500,0.85,3,750,"DRvA.6.Mag","DRvA","Mag",6
"343",1,0,2500,0.85,5,3750,"DRvA.7.Mag","DRvA","Mag",7
"344",1,0,1000,0.45,15,4500,"DRvA.8.Mag","DRvA","Mag",8
"345",0.55,5,1750,0.3,8,2250,"DRvA.9.Mag","DRvA","Mag",9
