Paradigm,Exp,x1,p1,t1,x2,p2,t2,N,y
Choice,CG16_E2,656,1,35,1950,1,55,28,0
Choice,CG16_E2,208,1,40,1440,1,90,28,6
Choice,CG16_E2,729,1,21,1620,1,28,28,1
Choice,CG16_E2,595,1,41,1800,1,65,28,6
Choice,CG16_E2,935,1,28,2550,1,42,28,1
Choice,CG16_E2,493,1,18,2010,1,33,28,1
Choice,CG16_E2,676,1,64,1380,1,81,28,5
Choice,CG16_E2,141,1,7,1590,1,18,28,0
Choice,CG16_E2,119,1,15,840,1,34,28,3
Choice,CG16_E3,9,1,8,12,1,9,25,16
Choice,CG16_E3,7,1,7,9,1,8,25,19
Choice,CG16_E3,5,1,6,7,1,7,25,12
Choice,CG16_E3,5,1,6,12,1,9,25,10
Choice,CG16_E3,9.9,1,8,13.2,1,9,25,17
Choice,CG16_E3,7.7,1,7,9.9,1,8,25,21
Choice,CG16_E3,5.5,1,6,7.7,1,7,25,19
Choice,CG16_E3,5.5,1,6,13.2,1,9,25,6
Choice,CG16_E3,12.6,1,8,16.8,1,9,25,20
Choice,CG16_E3,9.8,1,7,12.6,1,8,25,22
Choice,CG16_E3,7,1,6,9.8,1,7,25,21
Choice,CG16_E3,7,1,6,16.8,1,9,25,10
Choice,CG16_E3,10.8,1,8,14.4,1,9,25,12
Choice,CG16_E3,8.4,1,7,10.8,1,8,25,15
Choice,CG16_E3,6,1,6,8.4,1,7,25,16
Choice,CG16_E3,6,1,6,14.4,1,9,25,9
Choice,CG16_E3,8.1,1,8,10.8,1,9,25,20
Choice,CG16_E3,6.3,1,7,8.1,1,8,25,21
Choice,CG16_E3,4.5,1,6,6.3,1,7,25,13
Choice,CG16_E3,4.5,1,6,10.8,1,9,25,9
Choice,CG16_E3,7.2,1,8,9.6,1,9,25,16
Choice,CG16_E3,5.6,1,7,7.2,1,8,25,19
Choice,CG16_E3,4,1,6,5.6,1,7,25,17
Choice,CG16_E3,4,1,6,9.6,1,9,25,8
Choice,CG16_E3,46,1,8,50,1,11,25,8
Choice,CG16_E3,42,1,6,46,1,8,25,8
