V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96
72,65,71,61,61,51,52,71,63,61,53,74,49,77,48,67,60,66,44,63,62,52,57,62,69,41,46,64,59,51,51,45,29,41,44,59,21,63,44,29,15,35,33,24,21,25,50,35,70,80,74,77,82,78,80,78,42,61,51,82,88,76,69,63,48,58,47,28,30,33,70,48,37,19,28,37,33,33,20,41,67,74,65,61,60,65,77,72,76,79,60,52,84,46,65,65
64,56,67,62,61,48,54,52,59,53,53,62,53,72,56,55,53,62,45,55,54,56,55,52,67,42,46,62,38,45,40,48,34,51,48,61,18,59,58,22,10,23,25,23,21,19,47,38,57,71,75,66,70,72,76,67,50,69,47,77,81,68,65,58,49,60,47,32,45,33,63,48,29,21,20,28,45,25,24,36,63,70,62,56,67,71,70,75,62,78,54,45,84,37,70,67
61,59,66,64,55,57,54,70,56,63,47,68,50,82,61,61,65,63,49,57,52,64,54,55,65,43,53,55,37,47,40,45,40,45,38,58,10,63,55,29,16,36,29,17,19,23,32,38,64,70,80,66,64,77,85,63,37,69,55,73,88,76,64,59,48,57,46,28,37,28,65,46,37,19,25,29,42,33,26,42,68,71,63,55,62,75,71,75,79,79,66,53,86,41,71,70
62,58,62,57,51,47,52,68,57,56,51,67,47,67,58,59,61,59,47,62,61,51,40,51,63,39,50,49,50,53,46,50,44,47,43,64,10,64,56,26,20,35,25,23,21,12,53,38,63,69,74,66,61,69,78,63,44,64,58,67,79,70,61,59,39,61,47,24,42,31,64,46,31,16,26,33,44,30,28,37,69,71,60,52,67,58,62,70,75,79,51,51,77,41,59,64
62,62,72,60,55,54,57,65,65,59,60,57,55,75,54,58,69,60,52,56,57,54,53,57,62,42,51,57,47,41,44,40,30,53,42,54,32,62,59,21,22,45,16,30,23,24,49,33,58,68,79,65,70,70,78,60,51,63,49,71,68,71,67,67,52,57,43,32,35,32,73,51,36,20,20,29,44,36,35,38,71,74,73,58,73,67,68,72,69,75,53,48,82,41,53,67
68,65,69,61,62,59,52,68,62,61,48,61,53,73,62,64,58,63,44,60,57,64,56,53,62,41,50,56,48,42,52,39,41,54,52,63,21,65,51,17,17,20,28,19,24,17,49,37,70,70,79,65,65,75,75,65,46,56,58,70,81,76,71,57,50,58,47,23,30,31,68,40,33,24,26,36,43,21,23,37,70,78,67,55,68,63,74,75,71,82,56,44,79,44,65,66
59,59,67,68,64,55,56,70,58,67,35,63,47,74,57,62,66,66,49,62,61,60,56,57,64,57,46,58,55,48,51,45,35,45,43,61,18,64,52,17,22,28,24,24,26,19,48,44,65,66,81,70,75,76,77,73,48,71,59,68,83,81,71,63,54,67,45,36,41,24,78,55,31,17,30,34,38,26,28,36,65,79,68,64,72,69,72,80,78,76,65,59,85,57,63,63
57,55,66,62,61,53,64,65,58,63,53,67,58,76,56,63,57,65,53,59,58,59,51,57,68,50,46,60,47,48,52,49,40,52,46,60,17,65,55,22,21,36,31,23,21,14,33,32,66,67,75,73,66,69,76,67,45,64,55,74,72,71,64,63,51,58,41,26,39,37,66,49,28,18,23,30,45,29,29,40,66,73,57,55,67,69,68,71,75,76,57,50,78,37,66,63
63,64,67,72,63,58,50,72,61,60,50,75,50,80,59,64,63,70,54,51,63,69,58,54,66,52,50,57,50,47,55,41,41,53,46,57,17,73,54,27,17,32,18,15,17,13,46,49,68,75,83,68,71,74,78,66,49,67,53,79,88,84,70,65,51,65,46,21,32,37,77,43,31,21,30,37,39,31,19,45,77,75,70,61,71,71,72,71,64,83,55,49,86,45,69,71
64,67,64,67,57,48,56,73,60,55,38,67,48,75,60,59,59,64,40,59,63,59,50,55,63,45,50,61,45,53,49,44,33,52,44,57,16,58,50,24,19,32,30,30,19,21,45,39,63,71,71,68,72,74,82,69,45,73,47,70,79,80,77,54,41,62,41,26,44,29,68,45,26,22,26,33,41,28,23,39,64,74,61,61,63,71,67,78,71,84,56,46,83,41,64,62
